Comment,Description,Designator,Footprint,LibRef,Quantity

"104","1.02.08.0014","C1","LC-0805_C","CAP(´ÉÆ¬,104)","1"
"0.1uF","Capacitor","C3, C4, C7, C8, C9, C12","LC-0805_C","Cap","6"
"10uF,16V","Polarized Capacitor (Radial)","C5","SMD-EC-F10","Cap Pol 2x5","1"
"10uF,16V","Polarized Capacitor (Radial)","C6","SMD-EC-F8","Cap Pol 2x5","1"
"105","Polarized Capacitor (Radial)","CC1, CC2, CC3","LC-0805_C","Cap Chip 0805","3"
"150","Resistor","CR1, CR2, CR3, R2, R8, R12, R16, R21","LC-0805_R","Resistor Chip 0805, Res2","8"
"1K","Resistor","CR9, CR10, CR11, CR12","LC-0805_R","Resistor Chip 0805","4"
"Diode  Zener","Zener Diode","D1, D2, D3","LC-1206","Diode  Zener","3"
"IN5824","Zener Diode","D9","LC-1206","Diode  Zener","1"
"Diode 1N4001","1 Amp General Purpose Rectifier","D10, D11, D12, D13","DO-41","Diode 1N4001","4"
"Inductor","Inductor","L1","SMD-EC-F10","Inductor","1"
"¶Ë×Ó2P","","Motor1, POWER1, Valve1, Valve2, Valve3, Valve4","DUANZI2P","DUANZI2","6"
"Header 18X2","Header, 18-Pin, Dual row","P1, P3, P4","HDR2X18","Header 18X2","3"
"Header 4X2","Header, 4-Pin, Dual row","P2, P6, P14","HDR2X4","Header 4X2","3"
"Header 3","Header, 3-Pin","P5, P12","XH2.54-3","Header 3","2"
"Header 2","Header, 2-Pin","P7","HDR1X2","Header 2","1"
"Header 2","Header, 2-Pin","P8, P9, P10, P11","XH2.54-2","Header 2","4"
"IRF540N","HEXFET Power MOSFET","Q1, Q2, Q3, Q4","TO-220AB","IRF540N","4"
"10k","Resistor","R1, R4, R7, R10, R11, R14, R15, R18, R20, R23","LC-0805_R","Res2","10"
"50","Resistor","R3, R9, R13, R17, R22","LC-0805_R","Res2","5"
"3.3K","Resistor","R5, R6","LC-0805_R","Res2","2"
"3.3K","Resistor","R19, R24, R25","AXIAL-0.4","Res2","3"
"10K","","RP1, RP2, RP3","VR5","Res_t","3"
"SW DPDT","Switch","S1","AN88","SW DPDT","1"
"LM324AD","Quadruple Operational Amplifier","U1","SO-14","LM324AD","1"
"TLP155","","U3, U6, U7, U8, U10","so6","TLP155","5"
"BTS7960","","U4","BTS7960","Component_1_1","1"
"LM2596S-5.0","SIMPLE SWITCHER?Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263","U5","TS5B_N","LM2596S-5.0","1"
"LED Chip","Typical Chip LED","V1, V2, V3, V4","CLED2012-0805","LED Chip","4"
